WL;Counts;fwhm
325;2375.97;3.5
326;2530.39;
327;2675.59;
328;2806.84;
329;2935.84;
330;3062.3;
331;3220.61;
332;3376.57;
333;3511.07;
334;3653.22;
335;3798.58;
336;3930.08;
337;4077.1;
338;4243.1;
339;4400.6;
340;4552.39;
341;4691.52;
342;4865.6;
343;5059.69;
344;5261.94;
345;5473.26;
346;5696.12;
347;5941.51;
348;6194.55;
349;6457.8;
350;6703.57;
351;6937.8;
352;7130.84;
353;7308.64;
354;7465.39;
355;7630.96;
356;7798.88;
357;7968.32;
358;8133.84;
359;8297.58;
360;8535.08;
361;8751.71;
362;8938.29;
363;9171.61;
364;9403.06;
365;9580.31;
366;9746.01;
367;9904.01;
368;9945.5;
369;9966.71;
370;9956.21;
371;9919.25;
372;9877.28;
373;9843.99;
374;9804.92;
375;9761.67;
376;9680.69;
377;9608.73;
378;9552.73;
379;9476.26;
380;9397.51;
381;9335.76;
382;9297.95;
383;9278.2;
384;9308.46;
385;9362.56;
386;9456.31;
387;9593.19;
388;9756.21;
389;9984.96;
390;10224.88;
391;10473.57;
392;10762.46;
393;11118.47;
394;11595.22;
395;12221.62;
396;12929.91;
397;13834.91;
398;14809.84;
399;15844.34;
400;16972.84;
401;18075.22;
402;19115.22;
403;20123.28;
404;21085.73;
405;21821.98;
406;22534.48;
407;23225.91;
408;23896.47;
409;24597.38;
410;25366.63;
411;26163.75;
412;26973.52;
413;27798.02;
414;28589.24;
415;29348.49;
416;30078.4;
417;30779.27;
418;31422.01;
419;32023.1;
420;32604.9;
421;33173.65;
422;33661.51;
423;34068.46;
424;34331.28;
425;34549.31;
426;34701.31;
427;34866.07;
428;35046.05;
429;35321.82;
430;35685.91;
431;36145.66;
432;36811.55;
433;37562.85;
434;38461.48;
435;39431.55;
436;40429.37;
437;41328.37;
438;42114.69;
439;42773.93;
440;43355.7;
441;43907.64;
442;44407.64;
443;44962.75;
444;45543.77;
445;46085.88;
446;46543.56;
447;46898.07;
448;47203.9;
449;47476.15;
450;47673.4;
451;47812.2;
452;47912.77;
453;47851.02;
454;47734.27;
455;47547.52;
456;47389.92;
457;47262.83;
458;47219.34;
459;47149.69;
460;47064.07;
461;46958.48;
462;46822.59;
463;46644.83;
464;46405.59;
465;46141.45;
466;45836.95;
467;45577.21;
468;45345.84;
469;45206.34;
470;45114.51;
471;45091.26;
472;45138.15;
473;45219.24;
474;45371.24;
475;45527.89;
476;45687.64;
477;45827.14;
478;45951.09;
479;46051.71;
480;46081.33;
481;46047.48;
482;45823.48;
483;45551.78;
484;45246.94;
485;44910.33;
486;44638.54;
487;44473.54;
488;44635.75;
489;44954.63;
490;45566.8;
491;46158.5;
492;46734.75;
493;47239.22;
494;47720.37;
495;48165.59;
496;48510.13;
497;48798.56;
498;48959.31;
499;49116.14;
500;49269.89;
501;49499.29;
502;49787.55;
503;50179.31;
504;50694.8;
505;51275.48;
506;51991.76;
507;52655.77;
508;53275.27;
509;53761.77;
510;54196.16;
511;54545.91;
512;54716.27;
513;54812.44;
514;54833.94;
515;54820.2;
