Wl;L (W m-2 ste-1 nm-1);fwhm
198;2.53E-11;1.00E+00
198.24;-2.35E-11;
198.48;-6.04E-11;
198.72;-7.22E-11;
198.96;-1.05E-11;
199.2;-1.52E-10;
199.44;-2.15E-11;
199.68;3.59E-10;
199.92;5.93E-10;
200.16;5.97E-10;
200.4;4.91E-10;
200.64;4.41E-10;
200.88;5.18E-10;
201.12;6.20E-10;
201.36;5.71E-10;
201.6;5.93E-10;
201.84;7.11E-10;
202.08;7.27E-10;
202.32;7.14E-10;
202.56;6.78E-10;
202.8;5.82E-10;
203.04;5.03E-10;
203.28;5.77E-10;
203.52;5.73E-10;
203.76;5.06E-10;
204;5.82E-10;
204.24;7.27E-10;
204.48;7.17E-10;
204.72;6.24E-10;
204.96;6.18E-10;
205.2;6.49E-10;
205.44;5.65E-10;
205.68;5.81E-10;
205.92;5.59E-10;
206.16;5.12E-10;
206.4;5.13E-10;
206.64;5.24E-10;
206.88;6.36E-10;
207.12;7.58E-10;
207.36;6.16E-10;
207.6;5.42E-10;
207.84;6.29E-10;
208.08;6.12E-10;
208.32;5.87E-10;
208.56;5.90E-10;
208.8;6.27E-10;
209.04;6.97E-10;
209.28;7.75E-10;
209.52;7.87E-10;
209.76;6.68E-10;
210;6.79E-10;
210.24;6.90E-10;
210.48;6.08E-10;
210.72;5.71E-10;
210.96;5.49E-10;
211.2;5.44E-10;
211.44;5.90E-10;
211.68;6.72E-10;
211.92;7.66E-10;
212.16;7.06E-10;
212.4;7.12E-10;
212.64;6.59E-10;
212.88;6.18E-10;
213.12;6.21E-10;
213.36;6.16E-10;
213.6;6.22E-10;
213.84;7.05E-10;
214.08;6.44E-10;
214.32;6.01E-10;
214.56;6.09E-10;
214.8;5.95E-10;
215.04;6.80E-10;
215.28;7.51E-10;
215.52;7.38E-10;
215.76;6.85E-10;
216;6.41E-10;
216.24;5.37E-10;
216.48;5.08E-10;
216.72;6.39E-10;
216.96;5.84E-10;
217.2;5.97E-10;
217.44;6.29E-10;
217.68;6.50E-10;
217.92;6.30E-10;
218.16;5.52E-10;
218.4;5.89E-10;
218.64;6.27E-10;
218.88;6.13E-10;
219.12;7.26E-10;
219.36;7.22E-10;
219.6;7.61E-10;
219.84;7.30E-10;
220.08;6.54E-10;
220.32;7.42E-10;
220.56;7.63E-10;
220.8;5.49E-10;
221.04;5.69E-10;
221.28;5.64E-10;
221.52;6.15E-10;
221.76;6.06E-10;
222;5.55E-10;
222.24;5.43E-10;
222.48;6.07E-10;
222.72;7.17E-10;
222.96;6.66E-10;
223.2;6.87E-10;
223.44;6.21E-10;
223.68;5.59E-10;
223.92;5.98E-10;
224.16;6.57E-10;
224.4;6.99E-10;
224.64;7.20E-10;
224.88;6.42E-10;
225.12;7.27E-10;
225.36;7.80E-10;
225.6;6.31E-10;
225.84;5.21E-10;
226.08;5.35E-10;
226.32;5.28E-10;
226.56;5.13E-10;
226.8;5.77E-10;
227.04;6.04E-10;
227.28;5.85E-10;
227.52;7.02E-10;
227.76;7.50E-10;
228;6.96E-10;
228.24;6.68E-10;
228.48;7.11E-10;
228.72;7.41E-10;
228.96;6.75E-10;
229.2;5.31E-10;
229.44;3.80E-10;
229.68;6.52E-10;
229.92;5.84E-10;
230.16;5.47E-10;
230.4;4.83E-10;
230.64;5.07E-10;
230.88;5.85E-10;
231.12;6.69E-10;
231.36;7.52E-10;
231.6;6.28E-10;
231.84;6.90E-10;
232.08;6.68E-10;
232.32;7.14E-10;
232.56;7.29E-10;
232.8;7.16E-10;
233.04;6.50E-10;
233.28;5.78E-10;
233.52;5.60E-10;
233.76;4.89E-10;
234;4.62E-10;
234.24;5.01E-10;
234.48;4.30E-10;
234.72;4.21E-10;
234.96;5.36E-10;
235.2;5.65E-10;
235.44;5.26E-10;
235.68;6.28E-10;
235.92;7.91E-10;
236.16;6.86E-10;
236.4;5.17E-10;
236.64;6.05E-10;
236.88;5.87E-10;
237.12;6.53E-10;
237.36;6.60E-10;
237.6;6.57E-10;
237.84;7.07E-10;
238.08;6.23E-10;
238.32;5.74E-10;
238.56;5.92E-10;
238.8;6.43E-10;
239.04;6.22E-10;
239.28;6.48E-10;
239.52;6.94E-10;
239.76;6.83E-10;
240;6.56E-10;
240.24;7.07E-10;
240.48;7.05E-10;
240.72;5.55E-10;
240.96;5.86E-10;
241.2;6.87E-10;
241.44;6.86E-10;
241.68;7.36E-10;
241.92;7.84E-10;
242.16;7.40E-10;
242.4;6.79E-10;
242.64;7.20E-10;
242.88;7.02E-10;
243.12;7.56E-10;
243.36;7.22E-10;
243.6;6.35E-10;
243.84;6.13E-10;
244.08;6.05E-10;
244.32;6.15E-10;
244.56;6.75E-10;
244.8;6.95E-10;
245.04;5.74E-10;
245.28;6.01E-10;
245.52;6.15E-10;
245.76;5.83E-10;
246;6.37E-10;
246.24;7.05E-10;
246.48;6.80E-10;
246.72;6.11E-10;
246.96;6.27E-10;
247.2;6.85E-10;
247.44;7.77E-10;
247.68;6.41E-10;
247.92;6.90E-10;
248.16;7.04E-10;
248.4;6.25E-10;
248.64;6.43E-10;
248.88;7.38E-10;
249.12;7.46E-10;
249.36;7.43E-10;
249.6;7.14E-10;
249.84;8.29E-10;
250.08;8.01E-10;
250.32;7.26E-10;
250.56;6.55E-10;
250.8;6.51E-10;
251.04;7.61E-10;
251.28;8.22E-10;
251.52;6.72E-10;
251.76;7.52E-10;
252;8.97E-10;
252.24;8.10E-10;
252.48;6.72E-10;
252.72;7.54E-10;
252.96;8.35E-10;
253.2;8.23E-10;
253.44;7.29E-10;
253.68;6.03E-10;
253.92;5.90E-10;
254.16;6.27E-10;
254.4;7.42E-10;
254.64;7.99E-10;
254.88;7.84E-10;
255.12;7.89E-10;
255.36;7.50E-10;
255.6;6.69E-10;
255.84;6.81E-10;
256.08;7.98E-10;
256.32;6.72E-10;
256.56;7.41E-10;
256.8;8.72E-10;
257.04;7.02E-10;
257.28;6.96E-10;
257.52;7.23E-10;
257.76;7.62E-10;
258;8.05E-10;
258.24;7.83E-10;
258.48;8.10E-10;
258.72;7.20E-10;
258.96;7.28E-10;
259.2;7.33E-10;
259.44;6.54E-10;
259.68;6.42E-10;
259.92;6.84E-10;
260.16;6.85E-10;
260.4;6.88E-10;
260.64;8.25E-10;
260.88;9.14E-10;
261.12;8.65E-10;
261.36;7.90E-10;
261.6;8.12E-10;
261.84;8.19E-10;
262.08;7.77E-10;
262.32;7.53E-10;
262.56;7.33E-10;
262.8;6.73E-10;
263.04;7.06E-10;
263.28;8.02E-10;
263.52;6.88E-10;
263.76;7.90E-10;
264;8.78E-10;
264.24;8.43E-10;
264.48;7.98E-10;
264.72;7.72E-10;
264.96;7.62E-10;
265.2;8.10E-10;
265.44;7.30E-10;
265.68;5.67E-10;
265.92;7.01E-10;
266.16;7.16E-10;
266.4;7.51E-10;
266.64;7.18E-10;
266.88;6.87E-10;
267.12;7.40E-10;
267.36;8.14E-10;
267.6;8.08E-10;
267.84;8.57E-10;
268.08;8.05E-10;
268.32;7.58E-10;
268.56;7.76E-10;
268.8;8.28E-10;
269.04;8.62E-10;
269.28;7.62E-10;
269.52;6.27E-10;
269.76;7.20E-10;
270;9.13E-10;
270.24;9.10E-10;
270.48;7.65E-10;
270.72;7.74E-10;
270.96;6.74E-10;
271.2;5.89E-10;
271.44;5.90E-10;
271.68;6.08E-10;
271.92;6.44E-10;
272.16;7.96E-10;
