Range_wl_min;Range_wl_max;Range_center;SS_cal (WL_true = Wl_obs+SS_cal);FWHM_cal;Cost Function (@SS_cal and FWHM_cal);Minimization Status;Method;Measurement Type;Measurement Units;Nominal FWHM;Spectral Shift Limit (+/- limit);Fwhm Limit (*/ limit);N° of channels;Range Widening;Smoothing filter HW;Measured file;MODTRAN file;Target reflectance file;Messages;
nm;nm;nm;nm;nm;-;;;;;nm;nm;-;;;;;;;;
372;406;389.00000;0.12763096;10.075390;0.0023577127;1.00000;Ratio;Reflected Radiance;Counts;3.5000000;2.00000;3.00000;35;10;5;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\HH_Counts.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 16 and was set to 100.;
400;420;410.00000;-1.8583797;8.3065345;1.2076435e-005;1.00000;Ratio;Reflected Radiance;Counts;3.5000000;2.00000;3.00000;21;10;4;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\HH_Counts.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;SpecCal Core Function: Filter HalfWidth was GT nobs/5. It was set to nobs/5 = 4.;Explore Shift Function:The number of function evaluations was 16 and was set to 100.;
420;448;434.00000; --- ; --- ; --- ;-4.00000;Ratio;Reflected Radiance;Counts;3.5000000;2.00000;3.00000;29;10;5;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\HH_Counts.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 16 and was set to 100.;TNMIN Function:  Minimum error FWHM found at one of the edges of the amditted shift interval. Convergence not reached;
476;505;490.50000;-0.81437162;7.2518703;7.1090362e-005;1.00000;Ratio;Reflected Radiance;Counts;3.5000000;2.00000;3.00000;30;10;5;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\HH_Counts.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 16 and was set to 100.;
506;528;517.00000;-0.36255149;6.4813326;1.4693322e-005;1.00000;Ratio;Reflected Radiance;Counts;3.5000000;2.00000;3.00000;23;10;4;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\HH_Counts.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;SpecCal Core Function: Filter HalfWidth was GT nobs/5. It was set to nobs/5 = 4.;Explore Shift Function:The number of function evaluations was 16 and was set to 100.;
579;599;589.00000;-0.57466767;6.3268790;0.00014519984;1.00000;Ratio;Reflected Radiance;Counts;3.5000000;2.00000;3.00000;21;10;4;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\HH_Counts.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;SpecCal Core Function: Filter HalfWidth was GT nobs/5. It was set to nobs/5 = 4.;Explore Shift Function:The number of function evaluations was 16 and was set to 100.;
646;666;656.00000;0.55215349;5.0176327;0.00012150478;1.00000;Ratio;Reflected Radiance;Counts;3.5000000;2.00000;3.00000;21;10;4;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\HH_Counts.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;SpecCal Core Function: Filter HalfWidth was GT nobs/5. It was set to nobs/5 = 4.;Explore Shift Function:The number of function evaluations was 16 and was set to 100.;
676;698;687.00000;0.92662985;4.4920065;0.00016940349;1.00000;Ratio;Reflected Radiance;Counts;3.5000000;2.00000;3.00000;23;10;4;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\HH_Counts.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;SpecCal Core Function: Filter HalfWidth was GT nobs/5. It was set to nobs/5 = 4.;Explore Shift Function:The number of function evaluations was 16 and was set to 100.;
706;744;725.00000;1.1157958;3.9877510;0.00059881188;1.00000;Ratio;Reflected Radiance;Counts;3.5000000;2.00000;3.00000;39;10;5;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\HH_Counts.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 16 and was set to 100.;
