wl (nm); Emeas; Emod_sc - Retrieved values (SS =  0.701 nm, FWHM =  4.258 nm); Emod_sc - Nominal values (SS = 0 nm, FWHM =  3.500 nm)
476.00000; 1.3527887; 1.3626196; 1.3608647
477.00000; 1.3581231; 1.3639918; 1.3632250
478.00000; 1.3620571; 1.3634235; 1.3639918
479.00000; 1.3639736; 1.3611036; 1.3631563
480.00000; 1.3639918; 1.3593983; 1.3615402
481.00000; 1.3620253; 1.3593963; 1.3601070
482.00000; 1.3544790; 1.3580956; 1.3581444
483.00000; 1.3444142; 1.3503652; 1.3527016
484.00000; 1.3328045; 1.3333107; 1.3407367
485.00000; 1.3174709; 1.3108312; 1.3227358
486.00000; 1.3044628; 1.2948692; 1.3046631
487.00000; 1.2948692; 1.2953561; 1.2948692
488.00000; 1.2951760; 1.3081626; 1.2970510
489.00000; 1.3001425; 1.3217211; 1.3071281
490.00000; 1.3132759; 1.3281309; 1.3173344
491.00000; 1.3232572; 1.3276828; 1.3229779
492.00000; 1.3310506; 1.3274943; 1.3252042
493.00000; 1.3363753; 1.3329384; 1.3281153
494.00000; 1.3416495; 1.3410802; 1.3335258
495.00000; 1.3466013; 1.3453501; 1.3389078
496.00000; 1.3473665; 1.3421795; 1.3401852
497.00000; 1.3460484; 1.3329172; 1.3355252
498.00000; 1.3393586; 1.3221513; 1.3264959
499.00000; 1.3323332; 1.3133145; 1.3165016
500.00000; 1.3251029; 1.3072810; 1.3080569
501.00000; 1.3213068; 1.3044685; 1.3026706
502.00000; 1.3189456; 1.3056031; 1.3009688
503.00000; 1.3188511; 1.3099716; 1.3030569
504.00000; 1.3205176; 1.3171198; 1.3084517
505.00000; 1.3233350; 1.3259369; 1.3158982
