wl (nm); Emeas; Emod_sc - Retrieved values (SS = -0.389 nm, FWHM =  6.166 nm); Emod_sc - Nominal values (SS = 0 nm, FWHM =  3.500 nm)
506.00000; 1.3279990; 1.3364299; 1.3340864
507.00000; 1.3322655; 1.3358665; 1.3360837
508.00000; 1.3361172; 1.3335695; 1.3364299
509.00000; 1.3364299; 1.3336330; 1.3351223
510.00000; 1.3350724; 1.3349519; 1.3318489
511.00000; 1.3306493; 1.3340988; 1.3260834
512.00000; 1.3219870; 1.3288490; 1.3174287
513.00000; 1.3117290; 1.3199256; 1.3060120
514.00000; 1.2997305; 1.3097712; 1.2927659
515.00000; 1.2872790; 1.2976194; 1.2795321
516.00000; 1.2744402; 1.2812762; 1.2688193
517.00000; 1.2667651; 1.2662620; 1.2630454
518.00000; 1.2630454; 1.2630454; 1.2634287
519.00000; 1.2666086; 1.2735675; 1.2693463
520.00000; 1.2765440; 1.2898395; 1.2784820
521.00000; 1.2889537; 1.3031815; 1.2877990
522.00000; 1.3031079; 1.3107488; 1.2948019
523.00000; 1.3136030; 1.3143063; 1.2983792
524.00000; 1.3205684; 1.3139501; 1.2990375
525.00000; 1.3230520; 1.3071143; 1.2985250
526.00000; 1.3251259; 1.2975382; 1.2988980
527.00000; 1.3270943; 1.2961587; 1.3013424
528.00000; 1.3316913; 1.3064775; 1.3054061
