Range_wl_min;Range_wl_max;Range_center;SS_cal (WL_true = Wl_obs+SS_cal);FWHM_cal;Cost Function (@SS_cal and FWHM_cal);Minimization Status;Method;Measurement Type;Measurement Units;Nominal FWHM;Spectral Shift Limit (+/- limit);Fwhm Limit (*/ limit);N° of channels;Range Widening;Smoothing filter HW;Measured file;MODTRAN file;Target reflectance file;Messages;
nm;nm;nm;nm;nm;-;;;;;nm;nm;-;;;;;;;;
372;406;389.00000;-0.38655824;10.187726;0.0016461536;1.00000;Ratio;Reflected Radiance;Physical Units;3.5000000;2.00000;3.00000;35;10;5;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\HH_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 16 and was set to 100.;
400;420;410.00000;-1.8860087;8.9841805;0.00010822248;1.00000;Ratio;Reflected Radiance;Physical Units;3.5000000;2.00000;3.00000;21;10;4;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\HH_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;SpecCal Core Function: Filter HalfWidth was GT nobs/5. It was set to nobs/5 = 4.;Explore Shift Function:The number of function evaluations was 16 and was set to 100.;
420;448;434.00000;-0.76068420;9.6829939;0.00018613825;1.00000;Ratio;Reflected Radiance;Physical Units;3.5000000;2.00000;3.00000;29;10;5;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\HH_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 16 and was set to 100.;
476;505;490.50000;-0.74202695;5.6069084;9.1566610e-005;1.00000;Ratio;Reflected Radiance;Physical Units;3.5000000;2.00000;3.00000;30;10;5;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\HH_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 16 and was set to 100.;
506;528;517.00000;-0.45656161;6.2016041;3.8700974e-005;1.00000;Ratio;Reflected Radiance;Physical Units;3.5000000;2.00000;3.00000;23;10;4;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\HH_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;SpecCal Core Function: Filter HalfWidth was GT nobs/5. It was set to nobs/5 = 4.;Explore Shift Function:The number of function evaluations was 16 and was set to 100.;
579;599;589.00000;-0.57979320;6.6319323;0.00018887382;1.00000;Ratio;Reflected Radiance;Physical Units;3.5000000;2.00000;3.00000;21;10;4;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\HH_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;SpecCal Core Function: Filter HalfWidth was GT nobs/5. It was set to nobs/5 = 4.;Explore Shift Function:The number of function evaluations was 16 and was set to 100.;
646;666;656.00000;0.68142970;3.8740546;0.00010779997;1.00000;Ratio;Reflected Radiance;Physical Units;3.5000000;2.00000;3.00000;21;10;4;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\HH_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;SpecCal Core Function: Filter HalfWidth was GT nobs/5. It was set to nobs/5 = 4.;Explore Shift Function:The number of function evaluations was 16 and was set to 100.;
676;698;687.00000;0.91862323;4.2398945;0.00013561074;1.00000;Ratio;Reflected Radiance;Physical Units;3.5000000;2.00000;3.00000;23;10;4;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\HH_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;SpecCal Core Function: Filter HalfWidth was GT nobs/5. It was set to nobs/5 = 4.;Explore Shift Function:The number of function evaluations was 16 and was set to 100.;
706;744;725.00000;1.1119498;3.8938560;0.00035718054;1.00000;Ratio;Reflected Radiance;Physical Units;3.5000000;2.00000;3.00000;39;10;5;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\HH_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 16 and was set to 100.;
