wl (nm); Emeas; Emod_sc - Retrieved values (SS =  0.387 nm, FWHM = 10.188 nm); Emod_sc - Nominal values (SS = 0 nm, FWHM =  3.500 nm); rho - Retrieved values (SS =  0.387 nm, FWHM = 10.188 nm); rho - Nominal values (SS = 0 nm, FWHM =  3.500 nm)
372.00000; 0.51821914; 0.60624712; 0.56815978; 0.91210106; 0.85479851
373.00000; 0.52172765; 0.57844336; 0.56539236; 0.92277097; 0.90195115
374.00000; 0.52453309; 0.56561964; 0.56314738; 0.93143130; 0.92736010
375.00000; 0.52678005; 0.58010617; 0.56142602; 0.93828935; 0.90807524
376.00000; 0.52619842; 0.61766334; 0.55977865; 0.94001160; 0.85191785
377.00000; 0.52588293; 0.65816485; 0.55754526; 0.94321120; 0.79901401
378.00000; 0.52608299; 0.67751644; 0.55402916; 0.94955830; 0.77648741
379.00000; 0.52385408; 0.66727726; 0.54879388; 0.95455526; 0.78506209
380.00000; 0.52101565; 0.63776099; 0.54187901; 0.96149814; 0.81694500
381.00000; 0.51808355; 0.59606155; 0.53387833; 0.97041502; 0.86917794
382.00000; 0.51565981; 0.54829711; 0.52584723; 0.98062667; 0.94047517
383.00000; 0.51363371; 0.51563815; 0.51906478; 0.98953681; 0.99611270
384.00000; 0.51429893; 0.51363371; 0.51472188; 0.99917828; 1.0012951
385.00000; 0.51511856; 0.53022693; 0.51363371; 1.0028909; 0.97150583
386.00000; 0.51604408; 0.54676808; 0.51602255; 1.0000417; 0.94380798
387.00000; 0.52254751; 0.56219588; 0.52164289; 1.0017342; 0.92947589
388.00000; 0.53026810; 0.58916949; 0.52978865; 1.0009050; 0.90002641
389.00000; 0.53519447; 0.63199094; 0.53963358; 0.99177384; 0.84683883
390.00000; 0.54259045; 0.67096732; 0.55054052; 0.98555951; 0.80866897
391.00000; 0.55179500; 0.67371453; 0.56231581; 0.98129023; 0.81903385
392.00000; 0.55835878; 0.63264050; 0.57531660; 0.97052435; 0.88258461
393.00000; 0.56887969; 0.58758216; 0.59036966; 0.96359913; 0.96817047
394.00000; 0.58685355; 0.58208990; 0.60851554; 0.96440191; 1.0081837
395.00000; 0.60907068; 0.60451559; 0.63065257; 0.96577849; 1.0075351
396.00000; 0.63413745; 0.62560685; 0.65690076; 0.96534741; 1.0136357
397.00000; 0.66936079; 0.66358337; 0.68748064; 0.97364311; 1.0087064
398.00000; 0.70591863; 0.74102464; 0.72107912; 0.97897527; 0.95262505
399.00000; 0.74326159; 0.82956302; 0.75603131; 0.98310953; 0.89596760
400.00000; 0.78001393; 0.88979324; 0.79040335; 0.98685555; 0.87662380
401.00000; 0.81456008; 0.91606315; 0.82238057; 0.99049042; 0.88919642
402.00000; 0.84546933; 0.92155613; 0.85060793; 0.99395892; 0.91743661
403.00000; 0.87359551; 0.91676894; 0.87439442; 0.99908632; 0.95290697
404.00000; 0.89865529; 0.90799144; 0.89374114; 1.0054984; 0.98971780
405.00000; 0.91049993; 0.89971123; 0.90920662; 1.0014225; 1.0119913
406.00000; 0.92155613; 0.89584761; 0.92155613; 1.0000000; 1.0286974
