wl (nm); Emeas; Emod_sc - Retrieved values (SS =  0.761 nm, FWHM =  9.683 nm); Emod_sc - Nominal values (SS = 0 nm, FWHM =  3.500 nm); rho - Retrieved values (SS =  0.761 nm, FWHM =  9.683 nm); rho - Nominal values (SS = 0 nm, FWHM =  3.500 nm)
420.00000; 1.0056515; 1.0934445; 1.0529395; 0.95508955; 0.91970974
421.00000; 1.0059466; 1.0938638; 1.0445512; 0.96304197; 0.91962695
422.00000; 1.0038855; 1.0897011; 1.0350363; 0.96990368; 0.92124848
423.00000; 0.99946492; 1.0821775; 1.0243967; 0.97566198; 0.92356835
424.00000; 0.99198751; 1.0773727; 1.0126902; 0.97955674; 0.92074687
425.00000; 0.98380706; 1.0735847; 1.0001717; 0.98363817; 0.91637585
426.00000; 0.97402048; 1.0639920; 0.98742080; 0.98642897; 0.91543965
427.00000; 0.96566578; 1.0439177; 0.97551038; 0.98990826; 0.92504018
428.00000; 0.95886712; 1.0124777; 0.96546547; 0.99316562; 0.94705011
429.00000; 0.95676836; 0.97606007; 0.95880883; 0.99787187; 0.98023512
430.00000; 0.95766275; 0.95676836; 0.95676836; 1.0009348; 1.0009348
431.00000; 0.96162562; 0.97666761; 0.96010003; 1.0015890; 0.98459866
432.00000; 0.97234551; 1.0245436; 0.96887757; 1.0035793; 0.94905237
433.00000; 0.98582644; 1.0674023; 0.98245561; 1.0034310; 0.92357537
434.00000; 1.0042521; 1.0934067; 0.99962820; 1.0046256; 0.91846161
435.00000; 1.0237416; 1.1127579; 1.0189302; 1.0047220; 0.92000394
436.00000; 1.0438286; 1.1272595; 1.0389789; 1.0046678; 0.92598790
437.00000; 1.0635225; 1.1284943; 1.0585497; 1.0046978; 0.94242617
438.00000; 1.0820970; 1.1204934; 1.0774856; 1.0042798; 0.96573258
439.00000; 1.0991434; 1.1201886; 1.0954687; 1.0033544; 0.98121280
440.00000; 1.1153889; 1.1356372; 1.1126800; 1.0024346; 0.98217016
441.00000; 1.1309133; 1.1595185; 1.1294198; 1.0013223; 0.97533007
442.00000; 1.1450967; 1.1803456; 1.1459625; 0.99924446; 0.97013677
443.00000; 1.1614631; 1.1917856; 1.1624778; 0.99912713; 0.97455715
444.00000; 1.1792814; 1.1950058; 1.1790120; 1.0002285; 0.98684156
445.00000; 1.1986362; 1.1967246; 1.1954987; 1.0026244; 1.0015974
446.00000; 1.2153870; 1.2052588; 1.2117738; 1.0029817; 1.0084034
447.00000; 1.2287147; 1.2223062; 1.2275484; 1.0009501; 1.0052429
448.00000; 1.2424558; 1.2424558; 1.2424558; 1.0000000; 1.0000000
