wl (nm); Emeas; Emod_sc - Retrieved values (SS = -1.275 nm, FWHM =  3.685 nm); Emod_sc - Nominal values (SS = 0 nm, FWHM =  3.500 nm); rho - Retrieved values (SS = -1.275 nm, FWHM =  3.685 nm); rho - Nominal values (SS = 0 nm, FWHM =  3.500 nm)
749.00000; 1.0603897; 1.0603897; 1.0590195; 1.0012938; 1.0000000
750.00000; 1.0586479; 1.0571097; 1.0583257; 1.0003044; 1.0014551
751.00000; 1.0590560; 1.0558822; 1.0592718; 0.99979627; 1.0030058
752.00000; 1.0593772; 1.0565994; 1.0603897; 0.99904522; 1.0026290
753.00000; 1.0588404; 1.0581484; 1.0593128; 0.99955407; 1.0006540
754.00000; 1.0527181; 1.0582449; 1.0527596; 0.99996057; 0.99477742
755.00000; 1.0394359; 1.0543149; 1.0314136; 1.0077779; 0.98588749
756.00000; 0.97806282; 1.0411742; 0.97079708; 1.0074843; 0.93938440
757.00000; 0.85441196; 0.99948659; 0.84295632; 1.0135898; 0.85485085
758.00000; 0.66520053; 0.89364083; 0.66334951; 1.0027904; 0.74437124
759.00000; 0.52871549; 0.71571956; 0.50877557; 1.0391920; 0.73871880
760.00000; 0.44464031; 0.53567284; 0.44464031; 1.0000000; 0.83005947
761.00000; 0.47484135; 0.44464031; 0.46043475; 1.0312891; 1.0679224
762.00000; 0.52935002; 0.44944423; 0.51421050; 1.0294423; 1.1777880
763.00000; 0.59865887; 0.49806442; 0.58868290; 1.0169463; 1.2019708
764.00000; 0.70329316; 0.56605606; 0.68168755; 1.0316943; 1.2424444
765.00000; 0.80264883; 0.65536098; 0.77978271; 1.0293237; 1.2247431
766.00000; 0.89630625; 0.75504604; 0.86609186; 1.0348859; 1.1870882
767.00000; 0.94900053; 0.84685757; 0.92947037; 1.0210121; 1.1206141
768.00000; 0.98753367; 0.91690633; 0.96848124; 1.0196725; 1.0770279
769.00000; 1.0040056; 0.96114767; 0.98902570; 1.0151461; 1.0445904
770.00000; 1.0126563; 0.98479221; 0.99847208; 1.0142059; 1.0282944
771.00000; 1.0170628; 0.99580715; 1.0020935; 1.0149380; 1.0213451
772.00000; 1.0175591; 1.0002425; 1.0026776; 1.0148417; 1.0173124
773.00000; 1.0179241; 1.0012643; 1.0022383; 1.0156507; 1.0166387
774.00000; 1.0182544; 1.0005814; 1.0028094; 1.0154017; 1.0176628
775.00000; 1.0176157; 1.0006202; 1.0044370; 1.0131205; 1.0169850
776.00000; 1.0165715; 1.0023668; 1.0052059; 1.0113068; 1.0141711
777.00000; 1.0147846; 1.0037403; 1.0040973; 1.0106437; 1.0110031
778.00000; 1.0134376; 1.0031013; 1.0016345; 1.0117838; 1.0103044
779.00000; 1.0122767; 1.0008058; 0.99874045; 1.0135533; 1.0114616
780.00000; 1.0108974; 0.99791515; 0.99564216; 1.0153220; 1.0130094
