wl (nm); Emeas; Emod_sc - Retrieved values (SS = -1.547 nm, FWHM =  1.340 nm); Emod_sc - Nominal values (SS = 0 nm, FWHM =  1.000 nm); rho - Retrieved values (SS = -1.547 nm, FWHM =  1.340 nm); rho - Nominal values (SS = 0 nm, FWHM =  1.000 nm)
922.06862; 0.00016950377; 0.00018486062; 0.00017556285; 0.96548770; 0.91692738
922.30422; 0.00016909244; 0.00018764403; 0.00017459435; 0.96848743; 0.90113413
922.53982; 0.00016851939; 0.00018632294; 0.00017442394; 0.96614827; 0.90444786
922.77542; 0.00016727343; 0.00018253089; 0.00017490952; 0.95634266; 0.91641167
923.01102; 0.00016608126; 0.00017857709; 0.00017589541; 0.94420460; 0.93002553
923.24662; 0.00016573820; 0.00017516737; 0.00017715880; 0.93553465; 0.94617050
923.48222; 0.00016531925; 0.00017273852; 0.00017835390; 0.92691695; 0.95704914
923.71782; 0.00016529055; 0.00017143577; 0.00017911635; 0.92281109; 0.96415440
923.95342; 0.00016333402; 0.00017120225; 0.00017933128; 0.91079498; 0.95404132
924.18902; 0.00016125925; 0.00017154366; 0.00017932180; 0.89927299; 0.94004784
924.42462; 0.00016203480; 0.00017221856; 0.00017964319; 0.90198129; 0.94086722
924.66022; 0.00016268125; 0.00017352563; 0.00018048462; 0.90135796; 0.93750557
924.89582; 0.00016356088; 0.00017544493; 0.00018118302; 0.90273846; 0.93226338
925.13142; 0.00016282992; 0.00017725059; 0.00018041127; 0.90254850; 0.91864248
925.36702; 0.00016266060; 0.00017796262; 0.00017699227; 0.91902660; 0.91401559
925.60262; 0.00016173920; 0.00017701154; 0.00017067047; 0.94766951; 0.91372120
925.83822; 0.00015689994; 0.00017534525; 0.00016225998; 0.96696630; 0.89480575
926.07382; 0.00015194327; 0.00017541894; 0.00015317560; 0.99195480; 0.86617370
926.30942; 0.00014684538; 0.00017839049; 0.00014475968; 1.0144080; 0.82316820
926.54502; 0.00014201889; 0.00018182367; 0.00013780023; 1.0306143; 0.78108035
926.78062; 0.00013869435; 0.00018177264; 0.00013241942; 1.0473868; 0.76301005
927.01622; 0.00013613286; 0.00017651774; 0.00012826001; 1.0613819; 0.77121348
927.25182; 0.00013483209; 0.00016723951; 0.00012474675; 1.0808465; 0.80622150
927.48742; 0.00013292854; 0.00015627942; 0.00012132510; 1.0956393; 0.85058253
927.72302; 0.00012909833; 0.00014598490; 0.00011768925; 1.0969424; 0.88432657
927.95862; 0.00012473046; 0.00013809291; 0.00011390859; 1.0950049; 0.90323574
928.19422; 0.00012058299; 0.00013275568; 0.00011027241; 1.0935011; 0.90830757
928.42982; 0.00011742139; 0.00012895447; 0.00010692271; 1.0981895; 0.91056469
928.66542; 0.00011532944; 0.00012610379; 0.00010364101; 1.1127781; 0.91455966
928.90102; 0.00011213697; 0.00012382252; 0.00010001462; 1.1212058; 0.90562661
929.13662; 0.00010782430; 0.00012093795; 9.5765680e-005; 1.1259180; 0.89156717
929.37222; 0.00010456857; 0.00011667748; 9.0878939e-005; 1.1506359; 0.89621896
929.60782; 0.00010090782; 0.00011203981; 8.5505842e-005; 1.1801277; 0.90064255
929.84342; 9.4814385e-005; 0.00010862057; 7.9906164e-005; 1.1865716; 0.87289530
930.07902; 8.8293929e-005; 0.00010657392; 7.4511558e-005; 1.1849696; 0.82847595
930.31462; 8.3872785e-005; 0.00010437781; 6.9900984e-005; 1.1998799; 0.80354998
930.55022; 8.2488196e-005; 0.00010064825; 6.6557606e-005; 1.2393504; 0.81956908
930.78582; 8.1193128e-005; 9.5769811e-005; 6.4548133e-005; 1.2578695; 0.84779459
931.02142; 7.9598259e-005; 9.0820239e-005; 6.3357248e-005; 1.2563402; 0.87643745
931.25702; 8.0556588e-005; 8.5571620e-005; 6.2060723e-005; 1.2980285; 0.94139375
931.49262; 7.9285847e-005; 7.9426250e-005; 5.9855140e-005; 1.3246289; 0.99823228
931.72822; 7.3109055e-005; 7.3318723e-005; 5.6792490e-005; 1.2873015; 0.99714033
931.96382; 6.6930860e-005; 6.8732071e-005; 5.3330450e-005; 1.2550215; 0.97379372
932.19942; 6.5361291e-005; 6.6226569e-005; 5.0809703e-005; 1.2863939; 0.98693459
932.43502; 6.1678132e-005; 6.5847189e-005; 5.0295760e-005; 1.2263088; 0.93668587
932.67062; 5.9526388e-005; 6.6853650e-005; 5.2169676e-005; 1.1410151; 0.89039847
932.90622; 6.0930237e-005; 6.6869436e-005; 5.5854955e-005; 1.0908654; 0.91118216
933.14182; 6.6652245e-005; 6.3918741e-005; 5.9919727e-005; 1.1123590; 1.0427653
933.37742; 7.1581095e-005; 5.8380057e-005; 6.2738029e-005; 1.1409522; 1.2261224
933.61302; 6.9535085e-005; 5.3125395e-005; 6.3486170e-005; 1.0952793; 1.3088860
933.84862; 6.4691802e-005; 5.0295760e-005; 6.2661900e-005; 1.0323945; 1.2862278
934.08422; 6.2907024e-005; 5.0568916e-005; 6.1512700e-005; 1.0226673; 1.2439860
934.31982; 6.5721622e-005; 5.4359066e-005; 6.0874199e-005; 1.0796302; 1.2090278
934.55542; 6.8258937e-005; 6.1292193e-005; 6.0577785e-005; 1.1267982; 1.1136645
934.79102; 6.7898159e-005; 6.8273439e-005; 5.9957365e-005; 1.1324407; 0.99450328
935.02662; 6.5065809e-005; 7.0816572e-005; 5.8765334e-005; 1.1072142; 0.91879354
935.26222; 6.1837315e-005; 6.7833542e-005; 5.7467558e-005; 1.0760387; 0.91160381
935.49782; 5.9944397e-005; 6.3306532e-005; 5.6741695e-005; 1.0564435; 0.94689118
935.73342; 6.0048983e-005; 6.1871126e-005; 5.6929656e-005; 1.0547927; 0.97054938
935.96902; 6.1009233e-005; 6.3840813e-005; 5.8107086e-005; 1.0499448; 0.95564624
936.20462; 6.0671444e-005; 6.5565355e-005; 6.0554140e-005; 1.0019372; 0.92535828
936.44022; 6.0712477e-005; 6.4144185e-005; 6.4901713e-005; 0.93545261; 0.94650010
936.67582; 6.3925721e-005; 6.0632871e-005; 7.1674566e-005; 0.89188850; 1.0543080
936.91142; 6.8462617e-005; 5.8306673e-005; 8.0681101e-005; 0.84855829; 1.1741815
937.14702; 7.3525673e-005; 5.8672796e-005; 9.0775506e-005; 0.80997260; 1.2531476
937.38262; 7.9192745e-005; 6.0150687e-005; 0.00010013169; 0.79088590; 1.3165726
937.61822; 8.3607708e-005; 6.0891681e-005; 0.00010684054; 0.78254667; 1.3730563
937.85382; 8.5467185e-005; 6.1909379e-005; 0.00010963217; 0.77958127; 1.3805208
938.08942; 8.4690078e-005; 6.6038691e-005; 0.00010844669; 0.78093743; 1.2824312
938.32502; 8.1691584e-005; 7.4490368e-005; 0.00010448783; 0.78182867; 1.0966731
938.56062; 7.8193355e-005; 8.6047899e-005; 9.9612830e-005; 0.78497273; 0.90871893
938.79622; 7.6859234e-005; 9.8576481e-005; 9.5441055e-005; 0.80530578; 0.77969140
939.03182; 7.6168480e-005; 0.00010953369; 9.2803892e-005; 0.82074661; 0.69538860
939.26742; 7.2886784e-005; 0.00011603367; 9.1785140e-005; 0.79410223; 0.62815201
939.50302; 7.2021725e-005; 0.00011615640; 9.2023424e-005; 0.78264557; 0.62004093
939.73862; 7.1479971e-005; 0.00011053949; 9.2877350e-005; 0.76961682; 0.64664648
939.97422; 7.1628716e-005; 0.00010260274; 9.3492162e-005; 0.76614675; 0.69811701
940.20982; 7.1232738e-005; 9.6307153e-005; 9.3010498e-005; 0.76585697; 0.73964120
940.44542; 7.0618074e-005; 9.3099231e-005; 9.0973700e-005; 0.77624714; 0.75852479
940.68102; 6.7086088e-005; 9.1878873e-005; 8.7697988e-005; 0.76496724; 0.73015794
940.91662; 6.1811543e-005; 9.1809986e-005; 8.4312409e-005; 0.73312510; 0.67325512
941.15222; 5.8477945e-005; 9.3214207e-005; 8.2153954e-005; 0.71180925; 0.62735013
941.38782; 5.7877792e-005; 9.5624362e-005; 8.1693259e-005; 0.70847696; 0.60526199
941.62342; 5.9810586e-005; 9.7253136e-005; 8.1910104e-005; 0.73019790; 0.61499904
941.85902; 6.0158890e-005; 9.6691602e-005; 8.1117353e-005; 0.74162788; 0.62217286
942.09462; 5.7335374e-005; 9.3428695e-005; 7.8452247e-005; 0.73083151; 0.61368056
942.33022; 5.2855410e-005; 8.7608853e-005; 7.5047213e-005; 0.70429544; 0.60331129
942.56582; 5.0295760e-005; 8.1480678e-005; 7.3205425e-005; 0.68704962; 0.61727222
942.80142; 5.2298010e-005; 7.9478673e-005; 7.4368611e-005; 0.70322692; 0.65801312
943.03702; 5.7147566e-005; 8.3453496e-005; 7.7786339e-005; 0.73467356; 0.68478337
943.27262; 6.0177697e-005; 8.8544707e-005; 8.1079734e-005; 0.74220393; 0.67963065
943.50822; 6.0250342e-005; 8.7675013e-005; 8.2085318e-005; 0.73399657; 0.68720083
943.74382; 5.8352855e-005; 7.9539414e-005; 8.0369900e-005; 0.72605359; 0.73363445
943.97942; 5.5287889e-005; 7.0643064e-005; 7.7298485e-005; 0.71525191; 0.78263719
944.21502; 5.3502436e-005; 6.8734184e-005; 7.4864669e-005; 0.71465535; 0.77839633
944.45062; 5.3577203e-005; 7.5268278e-005; 7.4353069e-005; 0.72057823; 0.71181651
944.68622; 5.4911589e-005; 8.4808616e-005; 7.5784664e-005; 0.72457390; 0.64747654
