Range_wl_min;Range_wl_max;Range_center;SS_cal (WL_true = Wl_obs+SS_cal);FWHM_cal;Cost Function (@SS_cal and FWHM_cal);Minimization Status;Method;Measurement Type;Measurement Units;Nominal FWHM;Spectral Shift Limit (+/- limit);Fwhm Limit (*/ limit);N° of channels;Range Widening;Smoothing filter HW;Measured file;MODTRAN file;Target reflectance file;Messages;
nm;nm;nm;nm;nm;-;;;;;nm;nm;-;;;;;;;;
379;399;389.00000;1.6858269;0.86294373;0.91850286;1.00000;Correlation;Reflected Radiance;Physical Units;1.0000000;2.00000;2.00000;84;10;---;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\OO_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 66 and was set to 100.;
407;413;410.00000;1.6105684;0.94764327;0.94827796;1.00000;Correlation;Reflected Radiance;Physical Units;1.0000000;2.00000;2.00000;26;10;---;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\OO_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 66 and was set to 100.;
427;441;434.00000;1.5799630;0.98890350;0.96874745;1.00000;Correlation;Reflected Radiance;Physical Units;1.0000000;2.00000;2.00000;59;10;---;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\OO_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 66 and was set to 100.;
483;498;490.50000;1.3545568;1.0163446;0.94497735;1.00000;Correlation;Reflected Radiance;Physical Units;1.0000000;2.00000;2.00000;64;10;---;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\OO_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 66 and was set to 100.;
513;521;517.00000;1.3560408;0.98492659;0.97591516;1.00000;Correlation;Reflected Radiance;Physical Units;1.0000000;2.00000;2.00000;35;10;---;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\OO_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 66 and was set to 100.;
586;592;589.00000;1.1626341;1.0859275;0.99700505;1.00000;Correlation;Reflected Radiance;Physical Units;1.0000000;2.00000;2.00000;26;10;---;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\OO_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 66 and was set to 100.;
653;659;656.00000;1.1296207;0.83727383;0.99508779;1.00000;Correlation;Reflected Radiance;Physical Units;1.0000000;2.00000;2.00000;26;10;---;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\OO_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 66 and was set to 100.;
683;691;687.00000;1.1357870;0.95497931;0.99499441;1.00000;Correlation;Reflected Radiance;Physical Units;1.0000000;2.00000;2.00000;34;10;---;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\OO_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 66 and was set to 100.;
713;737;725.00000;1.1015286;0.98203497;0.97805955;1.00000;Correlation;Reflected Radiance;Physical Units;1.0000000;2.00000;2.00000;101;10;---;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\OO_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 66 and was set to 100.;
756;773;764.50000;1.1866039;1.0757502;0.99885044;1.00000;Correlation;Reflected Radiance;Physical Units;1.0000000;2.00000;2.00000;72;10;---;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\OO_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 66 and was set to 100.;
806;843;824.50000;1.2743419;0.96818126;0.94132341;1.00000;Correlation;Reflected Radiance;Physical Units;1.0000000;2.00000;2.00000;155;10;---;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\OO_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 66 and was set to 100.;
846;869;857.50000;1.3999261;1.1178095;0.98943908;1.00000;Correlation;Reflected Radiance;Physical Units;1.0000000;2.00000;2.00000;97;10;---;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\OO_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 66 and was set to 100.;
922;982;952.00000;1.6443820;0.88065219;0.94007497;1.00000;Correlation;Reflected Radiance;Physical Units;1.0000000;2.00000;2.00000;251;10;---;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\OO_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 66 and was set to 100.;
350;1000;675.00000;1.4333033;1.2694834;0.97885539;1.00000;Correlation;Reflected Radiance;Physical Units;1.0000000;2.00000;2.00000;2710;10;---;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\OO_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 66 and was set to 100.;
