wl (nm); Emeas; Emod_sc - Retrieved values (SS = -1.580 nm, FWHM =  0.989 nm); Emod_sc - Nominal values (SS = 0 nm, FWHM =  1.000 nm)
426.96000; 1.1703420; 1.1859294; 1.1422121
427.20000; 1.1420902; 1.1576304; 1.1176808
427.44000; 1.1020521; 1.1552546; 1.0967036
427.68000; 1.0801560; 1.1714361; 1.0771709
427.92000; 1.0551132; 1.1861675; 1.0470775
428.16000; 1.0024515; 1.1866209; 1.0008173
428.40000; 0.94351100; 1.1716980; 0.94981007
428.64000; 0.90505077; 1.1472157; 0.91108296
428.88000; 0.89319536; 1.1222083; 0.89319536
429.12000; 0.90595129; 1.1012958; 0.90072708
429.36000; 0.94768389; 1.0769348; 0.94358659
429.60000; 1.0179530; 1.0373756; 1.0277721
429.84000; 1.1047983; 0.98426431; 1.1359670
430.08000; 1.2035401; 0.93402106; 1.2269042
430.32000; 1.2551287; 0.90159590; 1.2626860
430.56000; 1.2511441; 0.89319536; 1.2422413
430.80000; 1.2107213; 0.91584811; 1.2067083
431.04000; 1.1971097; 0.98017967; 1.2025946
431.28000; 1.2110016; 1.0836143; 1.2369916
431.52000; 1.2248939; 1.1956681; 1.2757399
431.76000; 1.2207444; 1.2704273; 1.2816637
432.00000; 1.1889548; 1.2814643; 1.2477053
432.24000; 1.1367158; 1.2479661; 1.2008797
432.48000; 1.1008917; 1.2209906; 1.1780028
432.72000; 1.1200246; 1.2354142; 1.1909680
432.96000; 1.1672626; 1.2781231; 1.2181811
433.20000; 1.1997604; 1.3072712; 1.2337508
433.44000; 1.2112555; 1.2947537; 1.2366755
433.68000; 1.2133018; 1.2492346; 1.2452301
433.92000; 1.2173852; 1.2071482; 1.2702762
434.16000; 1.2406281; 1.1993530; 1.3044812
434.40000; 1.2616470; 1.2224137; 1.3344296
434.64000; 1.2788385; 1.2477786; 1.3510662
434.88000; 1.2947966; 1.2575577; 1.3520644
435.12000; 1.2971798; 1.2613860; 1.3374370
435.36000; 1.2769332; 1.2777413; 1.3146873
435.60000; 1.2470573; 1.3097820; 1.2940957
435.84000; 1.2162102; 1.3454692; 1.2814014
436.08000; 1.1994878; 1.3713848; 1.2713616
436.32000; 1.1836885; 1.3829990; 1.2505772
436.56000; 1.1623254; 1.3767164; 1.2160275
436.80000; 1.1391428; 1.3565660; 1.1871358
437.04000; 1.1503424; 1.3323797; 1.1857780
437.28000; 1.1895857; 1.3138200; 1.2106358
437.52000; 1.2244951; 1.3025151; 1.2433666
437.76000; 1.2548674; 1.2882044; 1.2696435
438.00000; 1.2877138; 1.2591198; 1.2846412
438.24000; 1.3049684; 1.2222786; 1.2878952
438.48000; 1.3002342; 1.2025150; 1.2824781
438.72000; 1.2861871; 1.2140141; 1.2772443
438.96000; 1.2919044; 1.2458271; 1.2828889
439.20000; 1.2952653; 1.2786944; 1.3013395
439.44000; 1.3368728; 1.3018751; 1.3224059
439.68000; 1.3527947; 1.3125773; 1.3369591
439.92000; 1.3711461; 1.3116575; 1.3487523
440.16000; 1.3829990; 1.3049020; 1.3644140
440.40000; 1.3772456; 1.3033765; 1.3790070
440.64000; 1.3688598; 1.3155607; 1.3829990
440.88000; 1.3638813; 1.3376297; 1.3761121
