wl (nm); Emeas; Emod_sc - Retrieved values (SS = -1.690 nm, FWHM =  1.254 nm); Emod_sc - Nominal values (SS = 0 nm, FWHM =  1.000 nm); rho - Retrieved values (SS = -1.690 nm, FWHM =  1.254 nm); rho - Nominal values (SS = 0 nm, FWHM =  1.000 nm)
378.96000; 0.83864106; 0.68480925; 0.68720976; 1.2203567; 1.2246345
379.20000; 0.82216260; 0.65059407; 0.67470764; 1.2185464; 1.2637106
379.44000; 0.79454484; 0.63443594; 0.64765892; 1.2267952; 1.2523642
379.68000; 0.75082146; 0.63844238; 0.61209121; 1.2266496; 1.1760207
379.92000; 0.69536684; 0.66465959; 0.57386690; 1.2117215; 1.0462000
380.16000; 0.64692491; 0.70292335; 0.53677897; 1.2051979; 0.92033492
380.40000; 0.61464402; 0.73281058; 0.50277089; 1.2225132; 0.83874884
380.64000; 0.58530824; 0.74030419; 0.47325664; 1.2367671; 0.79063208
380.88000; 0.55549113; 0.72469861; 0.44958035; 1.2355770; 0.76651332
381.12000; 0.52698398; 0.69210205; 0.43241597; 1.2186968; 0.76142525
381.36000; 0.52717991; 0.65135626; 0.42180078; 1.2498315; 0.80935724
381.60000; 0.53333172; 0.61124034; 0.41847888; 1.2744531; 0.87254013
381.84000; 0.54640717; 0.57489576; 0.42483396; 1.2861664; 0.95044563
382.08000; 0.57195453; 0.54090745; 0.44348672; 1.2896768; 1.0573982
382.32000; 0.60840892; 0.50996102; 0.47403829; 1.2834594; 1.1930499
382.56000; 0.65527762; 0.48581444; 0.51080897; 1.2828232; 1.3488229
382.80000; 0.70601742; 0.47010733; 0.54421356; 1.2973168; 1.5018218
383.04000; 0.73959388; 0.46009200; 0.56529624; 1.3083297; 1.6074913
383.28000; 0.73624745; 0.45381540; 0.57012680; 1.2913749; 1.6223501
383.52000; 0.71366287; 0.45501709; 0.56122795; 1.2716096; 1.5684309
383.76000; 0.70949733; 0.47086547; 0.54546934; 1.3007098; 1.5067942
384.00000; 0.68316828; 0.50532865; 0.53287438; 1.2820438; 1.3519287
384.24000; 0.68325523; 0.55230480; 0.53111198; 1.2864617; 1.2370981
384.48000; 0.70005462; 0.59573580; 0.54026289; 1.2957666; 1.1751092
384.72000; 0.71318295; 0.62073325; 0.55255193; 1.2907075; 1.1489363
384.96000; 0.71743351; 0.62351564; 0.55907406; 1.2832531; 1.1506263
385.20000; 0.70880354; 0.60835990; 0.55724187; 1.2719854; 1.1651056
385.44000; 0.69315436; 0.58235760; 0.55110314; 1.2577580; 1.1902555
385.68000; 0.68614882; 0.55879610; 0.54543612; 1.2579820; 1.2279055
385.92000; 0.69126697; 0.55463081; 0.54165366; 1.2762158; 1.2463552
386.16000; 0.68714799; 0.57460372; 0.53949592; 1.2736853; 1.1958642
386.40000; 0.66900935; 0.60086660; 0.54054679; 1.2376530; 1.1134075
386.64000; 0.66959134; 0.61011656; 0.54887452; 1.2199352; 1.0974810
386.88000; 0.68299053; 0.59957475; 0.56867416; 1.2010226; 1.1391249
387.12000; 0.70061396; 0.58617116; 0.60101002; 1.1657276; 1.1952378
387.36000; 0.72164773; 0.58178497; 0.64158943; 1.1247812; 1.2404029
387.60000; 0.75430696; 0.58147180; 0.68161463; 1.1066473; 1.2972374
387.84000; 0.78332940; 0.57781536; 0.71223470; 1.0998192; 1.3556742
388.08000; 0.79022125; 0.57346314; 0.72976620; 1.0828417; 1.3779809
388.32000; 0.78026452; 0.57597719; 0.73780523; 1.0575481; 1.3546796
388.56000; 0.77364911; 0.59190797; 0.74469290; 1.0388834; 1.3070429
388.80000; 0.77371030; 0.62609410; 0.75769949; 1.0211308; 1.2357732
389.04000; 0.78267819; 0.67565462; 0.77743780; 1.0067406; 1.1583998
389.28000; 0.79366249; 0.72602330; 0.79661683; 0.99629139; 1.0931639
389.52000; 0.79768256; 0.76084029; 0.80446797; 0.99156535; 1.0484231
389.76000; 0.79576457; 0.77402259; 0.79343110; 1.0029410; 1.0280896
390.00000; 0.75576556; 0.77161937; 0.76274817; 0.99084545; 0.97945384
390.24000; 0.70600348; 0.76794134; 0.71651555; 0.98532890; 0.91934559
390.48000; 0.65136654; 0.77811350; 0.65881802; 0.98868962; 0.83710993
390.72000; 0.59082783; 0.80606891; 0.59152095; 0.99882824; 0.73297434
390.96000; 0.52680121; 0.83883643; 0.51774256; 1.0174964; 0.62801423
391.20000; 0.45950419; 0.85621797; 0.44726006; 1.0273759; 0.53666730
391.44000; 0.40550729; 0.84582254; 0.39657321; 1.0225282; 0.47942360
391.68000; 0.38122755; 0.80960011; 0.38122755; 1.0000000; 0.47088377
391.92000; 0.41219470; 0.75939362; 0.40629261; 1.0145267; 0.54279453
392.16000; 0.47640955; 0.70460411; 0.46324940; 1.0284083; 0.67613791
392.40000; 0.55091137; 0.64209892; 0.53556222; 1.0286599; 0.85798520
392.64000; 0.61383445; 0.56364248; 0.60750904; 1.0104120; 1.0890493
392.88000; 0.66832210; 0.47560846; 0.66930543; 0.99853082; 1.4051939
393.12000; 0.71471900; 0.40482393; 0.71657567; 0.99740898; 1.7655058
393.36000; 0.74369752; 0.38122755; 0.74616039; 0.99669927; 1.9507969
393.60000; 0.74873726; 0.41507105; 0.75783791; 0.98799130; 1.8038774
393.84000; 0.73209631; 0.48972211; 0.74575941; 0.98167894; 1.4949219
394.08000; 0.69589950; 0.57610264; 0.70655882; 0.98491375; 1.2079436
394.32000; 0.64113461; 0.65346100; 0.64231175; 0.99816734; 0.98113677
394.56000; 0.56416696; 0.71551722; 0.56469458; 0.99906565; 0.78847432
394.80000; 0.50006568; 0.76251883; 0.49467939; 1.0108884; 0.65580765
395.04000; 0.45929015; 0.79364157; 0.45595005; 1.0073256; 0.57871232
395.28000; 0.46702863; 0.81017101; 0.46453884; 1.0053597; 0.57645686
395.52000; 0.51929431; 0.80523644; 0.52066846; 0.99736081; 0.64489668
395.76000; 0.60583241; 0.76989552; 0.60850724; 0.99560427; 0.78690211
396.00000; 0.70660657; 0.69920508; 0.70458123; 1.0028745; 1.0105856
396.24000; 0.79193118; 0.60278783; 0.78931403; 1.0033157; 1.3137810
396.48000; 0.84586717; 0.50744120; 0.85405958; 0.99040769; 1.6669265
396.72000; 0.88249176; 0.44851516; 0.89999490; 0.98055196; 1.9675852
396.96000; 0.91139872; 0.45339286; 0.93185406; 0.97804877; 2.0101744
397.20000; 0.93054648; 0.52461061; 0.95288708; 0.97655483; 1.7737851
397.44000; 0.93250103; 0.63660105; 0.96468121; 0.96664165; 1.4648123
397.68000; 0.94519403; 0.75145519; 0.96975875; 0.97466925; 1.2578182
397.92000; 0.96095488; 0.84098512; 0.97232588; 0.98830536; 1.1426538
398.16000; 0.97032197; 0.89904210; 0.97579341; 0.99439283; 1.0792842
398.40000; 0.97336291; 0.93662142; 0.98048038; 0.99274083; 1.0392277
398.64000; 0.97942554; 0.96555690; 0.98471220; 0.99463127; 1.0143634
398.88000; 0.98759116; 0.98759116; 0.98759116; 1.0000000; 1.0000000
