wl;reflectance
350;0.885886258
351;0.885660917
352;0.885421015
353;0.885203661
354;0.884942468
355;0.884675543
356;0.884475673
357;0.884274536
358;0.884066406
359;0.883861425
360;0.883663901
361;0.883462735
362;0.883290985
363;0.883083377
364;0.882867788
365;0.882652473
366;0.882478405
367;0.88229129
368;0.882128084
369;0.881984036
370;0.881857263
371;0.881744993
372;0.881650374
373;0.881640584
374;0.881644767
375;0.881635343
376;0.881582956
377;0.881526425
378;0.881447976
379;0.881396239
380;0.881344008
381;0.881262596
382;0.88125586
383;0.881251842
384;0.881229896
385;0.881206023
386;0.881196255
387;0.881231326
388;0.881298481
389;0.881351484
390;0.881363662
391;0.8813676
392;0.88137635
393;0.881383789
394;0.88138042
395;0.881374954
396;0.881402239
397;0.881401191
398;0.88138064
399;0.88133564
400;0.881309738
401;0.881254927
402;0.88121248
403;0.88116083
404;0.881095031
405;0.880977882
406;0.880928712
407;0.880852134
408;0.88082602
409;0.880795255
410;0.880767755
411;0.880770032
412;0.88076746
413;0.880731649
414;0.88065261
415;0.880557944
416;0.88046249
417;0.880406012
418;0.880416897
419;0.880409481
420;0.880416207
421;0.880420264
422;0.880462894
423;0.880472093
424;0.88044875
425;0.880428375
426;0.880408
427;0.880422144
428;0.880406714
429;0.880413836
430;0.88038545
431;0.880360823
432;0.880338174
433;0.880320272
434;0.880307315
435;0.88033748
436;0.880332136
437;0.880333324
438;0.880292873
439;0.880254301
440;0.88022641
441;0.880202278
442;0.880177948
443;0.880163407
444;0.880152624
445;0.880135711
446;0.880162019
447;0.880164686
448;0.880230954
449;0.880255583
450;0.880236496
451;0.880464228
452;0.880450366
453;0.880403851
454;0.88039938
455;0.880409745
456;0.880434945
457;0.880508431
458;0.880599929
459;0.880667776
460;0.8807955
461;0.880888688
462;0.880981784
463;0.880985299
464;0.881033148
465;0.881119701
466;0.881243975
467;0.881341818
468;0.88144699
469;0.881587917
470;0.881670112
471;0.881846104
472;0.881979919
473;0.882117993
474;0.882253403
475;0.88238021
476;0.882460953
477;0.882541
478;0.882589031
479;0.882671054
480;0.882760604
481;0.882851842
482;0.882969368
483;0.88304606
484;0.883155079
485;0.883263695
486;0.883363002
487;0.883417697
488;0.883494733
489;0.883521987
490;0.883501528
491;0.883508647
492;0.883511611
493;0.88353632
494;0.88355905
495;0.883613448
496;0.883661912
497;0.883703354
498;0.883742722
499;0.883750445
500;0.883755007
501;0.883683364
502;0.883636151
503;0.883589929
504;0.883640574
505;0.883630005
506;0.883654074
507;0.883637375
508;0.883648262
509;0.88363424
510;0.883586792
511;0.883596323
512;0.883530557
513;0.883487211
514;0.883434647
515;0.883340534
516;0.88324435
517;0.883147183
518;0.883091563
519;0.883047934
520;0.883009369
521;0.882999576
522;0.882991658
523;0.882949129
524;0.882942873
525;0.882900032
526;0.882841146
527;0.882772156
528;0.882701983
529;0.882602278
530;0.882505449
531;0.882474721
532;0.882444785
533;0.882416823
534;0.882358039
535;0.882326701
536;0.882259598
537;0.882188137
538;0.882108557
539;0.881991245
540;0.88191227
541;0.881806657
542;0.881736503
543;0.881676252
544;0.881624815
545;0.881543872
546;0.881497387
547;0.881447832
548;0.881393225
549;0.88133149
550;0.88129618
551;0.881236223
552;0.881179134
553;0.881112942
554;0.881037548
555;0.880922681
556;0.880844225
557;0.880773783
558;0.880713231
559;0.880686994
560;0.880661738
561;0.880642212
562;0.880589062
563;0.880504175
564;0.880420082
565;0.880331933
566;0.880241808
567;0.880155543
568;0.880067402
569;0.880022656
570;0.880020306
571;0.879988602
572;0.879927551
573;0.879863531
574;0.879831921
575;0.879791518
576;0.879742223
577;0.879685027
578;0.879617954
579;0.879540014
580;0.879493587
581;0.879451217
582;0.87938031
583;0.879311666
584;0.879274406
585;0.879206732
586;0.879148044
587;0.879094383
588;0.87903973
589;0.878973123
590;0.878896442
591;0.878810779
592;0.87875937
593;0.878640273
594;0.878521082
595;0.878401899
596;0.878317242
597;0.878265023
598;0.8781845
599;0.878142241
600;0.87803233
601;0.877914612
602;0.877792943
603;0.877695712
604;0.877623013
605;0.877551503
606;0.877456454
607;0.877363554
608;0.877272698
609;0.877220169
610;0.877164662
611;0.877070722
612;0.877010088
613;0.876958249
614;0.876922029
615;0.876854216
616;0.876777232
617;0.876668667
618;0.876594288
619;0.876516679
620;0.876410571
621;0.87633656
622;0.876251508
623;0.87622204
624;0.876160014
625;0.876039082
626;0.875955135
627;0.875902437
628;0.875851404
629;0.875768816
630;0.875684774
631;0.87559454
632;0.875492076
633;0.875376393
634;0.875316044
635;0.875216032
636;0.875111543
637;0.874975469
638;0.874809589
639;0.874703904
640;0.874560556
641;0.874449822
642;0.874344493
643;0.874214414
644;0.874093597
645;0.873943834
646;0.873824897
647;0.873769671
648;0.873715844
649;0.873642857
650;0.873544786
651;0.8734411
652;0.873339395
653;0.873241967
654;0.873148604
655;0.87305249
656;0.872922414
657;0.872830721
658;0.872744217
659;0.872661029
660;0.872574099
661;0.872547717
662;0.872455167
663;0.872361736
664;0.872231375
665;0.872127476
666;0.872060826
667;0.87199628
668;0.871898789
669;0.871771116
670;0.871674853
671;0.871545554
672;0.871418581
673;0.871304595
674;0.871228042
675;0.871135862
676;0.871062175
677;0.870952702
678;0.87087757
679;0.870813542
