Wl;R
350;0.98
351;0.98
352;0.98
353;0.98
354;0.98
355;0.98
356;0.98
357;0.98
358;0.98
359;0.98
360;0.98
361;0.98
362;0.98
363;0.98
364;0.98
365;0.98
366;0.98
367;0.98
368;0.98
369;0.98
370;0.98
371;0.98
372;0.98
373;0.98
374;0.98
375;0.98
376;0.98
377;0.98
378;0.98
379;0.98
380;0.98
381;0.98
382;0.98
383;0.98
384;0.98
385;0.98
386;0.98
387;0.98
388;0.98
389;0.98
390;0.98
391;0.98
392;0.98
393;0.98
394;0.98
395;0.98
396;0.98
397;0.98
398;0.98
399;0.98
400;0.98
401;0.98
402;0.98
403;0.98
404;0.98
405;0.98
406;0.98
407;0.98
408;0.98
409;0.98
410;0.98
411;0.98
412;0.98
413;0.98
414;0.98
415;0.98
416;0.98
417;0.98
418;0.98
419;0.98
420;0.98
421;0.98
422;0.98
423;0.98
424;0.98
425;0.98
426;0.98
427;0.98
428;0.98
429;0.98
430;0.98
431;0.98
432;0.98
433;0.98
434;0.98
435;0.98
436;0.98
437;0.98
438;0.98
439;0.98
440;0.98
441;0.98
442;0.98
443;0.98
444;0.98
445;0.98
446;0.98
447;0.98
448;0.98
449;0.98
450;0.98
451;0.98
452;0.98
453;0.98
454;0.98
455;0.98
456;0.98
457;0.98
458;0.98
459;0.98
460;0.98
461;0.98
462;0.98
463;0.98
464;0.98
465;0.98
466;0.98
467;0.98
468;0.98
469;0.98
470;0.98
471;0.98
472;0.98
473;0.98
474;0.98
475;0.98
476;0.98
477;0.98
478;0.98
479;0.98
480;0.98
481;0.98
482;0.98
483;0.98
484;0.98
485;0.98
486;0.98
487;0.98
488;0.98
489;0.98
490;0.98
491;0.98
492;0.98
493;0.98
494;0.98
495;0.98
496;0.98
497;0.98
498;0.98
499;0.98
500;0.98
501;0.98
502;0.98
503;0.98
504;0.98
505;0.98
506;0.98
507;0.98
508;0.98
509;0.98
510;0.98
511;0.98
512;0.98
513;0.98
514;0.98
515;0.98
516;0.98
517;0.98
518;0.98
519;0.98
520;0.98
521;0.98
522;0.98
523;0.98
524;0.98
525;0.98
526;0.98
527;0.98
528;0.98
529;0.98
530;0.98
531;0.98
532;0.98
533;0.98
534;0.98
535;0.98
536;0.98
537;0.98
538;0.98
539;0.98
540;0.98
541;0.98
542;0.98
543;0.98
544;0.98
545;0.98
546;0.98
547;0.98
548;0.98
549;0.98
550;0.98
551;0.98
552;0.98
553;0.98
554;0.98
555;0.98
556;0.98
557;0.98
558;0.98
559;0.98
560;0.98
561;0.98
562;0.98
563;0.98
564;0.98
565;0.98
566;0.98
567;0.98
568;0.98
569;0.98
570;0.98
571;0.98
572;0.98
573;0.98
574;0.98
575;0.98
576;0.98
577;0.98
578;0.98
579;0.98
580;0.98
581;0.98
582;0.98
583;0.98
584;0.98
585;0.98
586;0.98
587;0.98
588;0.98
589;0.98
590;0.98
591;0.98
592;0.98
593;0.98
594;0.98
595;0.98
596;0.98
597;0.98
598;0.98
599;0.98
600;0.98
601;0.98
602;0.98
603;0.98
604;0.98
605;0.98
606;0.98
607;0.98
608;0.98
609;0.98
610;0.98
611;0.98
612;0.98
613;0.98
614;0.98
615;0.98
616;0.98
617;0.98
618;0.98
619;0.98
620;0.98
621;0.98
622;0.98
623;0.98
624;0.98
625;0.98
626;0.98
627;0.98
628;0.98
629;0.98
630;0.98
631;0.98
632;0.98
633;0.98
634;0.98
635;0.98
636;0.98
637;0.98
638;0.98
639;0.98
640;0.98
641;0.98
642;0.98
643;0.98
644;0.98
645;0.98
646;0.98
647;0.98
648;0.98
649;0.98
650;0.98
651;0.98
652;0.98
653;0.98
654;0.98
655;0.98
656;0.98
657;0.98
658;0.98
659;0.98
660;0.98
661;0.98
662;0.98
663;0.98
664;0.98
665;0.98
666;0.98
667;0.98
668;0.98
669;0.98
670;0.98
671;0.98
672;0.98
673;0.98
674;0.98
675;0.98
676;0.98
677;0.98
678;0.98
679;0.98
680;0.98
681;0.98
682;0.98
683;0.98
684;0.98
685;0.98
686;0.98
687;0.98
688;0.98
689;0.98
690;0.98
691;0.98
692;0.98
693;0.98
694;0.98
695;0.98
696;0.98
697;0.98
698;0.98
699;0.98
700;0.98
701;0.98
702;0.98
703;0.98
704;0.98
705;0.98
706;0.98
707;0.98
708;0.98
709;0.98
710;0.98
711;0.98
712;0.98
713;0.98
714;0.98
715;0.98
716;0.98
717;0.98
718;0.98
719;0.98
720;0.98
721;0.98
722;0.98
723;0.98
724;0.98
725;0.98
726;0.98
727;0.98
728;0.98
729;0.98
730;0.98
731;0.98
